season,week,seasonType,homeTeam,awayTeam,outlet,startTime
2023,12,regular,Texas A&M,Abilene Christian,SECN+,2023-11-18T17:00:00.000Z
2023,12,regular,Texas A&M,Abilene Christian,ESPN+,2023-11-18T17:00:00.000Z
2023,12,regular,Air Force,UNLV,CBSSN,2023-11-18T20:30:00.000Z
2023,12,regular,Notre Dame,Wake Forest,NBC,2023-11-18T20:30:00.000Z
2023,12,regular,Utah State,Boise State,CBSSN,2023-11-19T00:00:00.000Z
2023,12,regular,San José State,San Diego State,CBSSN,2023-11-19T03:30:00.000Z
2023,13,regular,Mississippi State,Ole Miss,ESPN,2023-11-24T00:30:00.000Z
2023,13,regular,Nebraska,Iowa,CBS,2023-11-24T17:00:00.000Z
2023,13,regular,Boston College,Miami,ABC,2023-11-24T17:00:00.000Z
2023,13,regular,Oklahoma,TCU,FOX,2023-11-24T17:00:00.000Z
2023,13,regular,Boise State,Air Force,FS1,2023-11-24T21:00:00.000Z
2023,13,regular,Texas,Texas Tech,ABC,2023-11-25T00:30:00.000Z
2023,13,regular,Oregon,Oregon State,FOX,2023-11-25T01:30:00.000Z
